,,d=50,d=100,d=200,d=300
inclination,leaning,0.2335718964673297,0.2653070078752285,0.21363977142792256,0.14376348890313553
inclination,propensity,0.6335727840765362,0.5410508206434059,0.5600407759593541,0.47548173116884207
inclination,trend,0.31294403295532086,0.24728576261705887,0.26613049958689267,0.19532098922378527
leaning,propensity,0.09629105359815375,0.09494520796128414,0.09742124739087492,0.04034174917513547
leaning,trend,0.37452056053707644,0.3490172276633458,0.2991827673760449,0.22749214303591148
propensity,trend,0.4847884266994367,0.2884804239763728,0.3266086507170779,0.2674059598284663
tendency,inclination,0.5565021009905472,0.5468494196492102,0.4926013347443235,0.4643952407892969
tendency,leaning,0.4574473486929017,0.3540735052652709,0.33048819582561934,0.24230486472377322
tendency,propensity,0.7035196866588477,0.6723951074200941,0.6298989449873702,0.6128909457280737
tendency,trend,0.690698446809532,0.5953388392577434,0.5608532854813653,0.48293068366560643
