,,d=50,d=100,d=200,d=300
cast,couch,0.3257896157297822,0.21863936046526403,0.14839544763630022,0.09118921545254956
cast,pose,0.3797550051657572,0.2840058803340282,0.1787097926101373,0.09853366307544703
cast,set,0.6129172246757393,0.5121549613666294,0.3947854435794132,0.28443613542718205
couch,pose,0.09557941441889357,0.12787993066420644,0.06667521815893152,-0.017013447573443384
couch,set,0.26051847330722305,0.18792585893551036,0.1345157313535486,0.07443793309495489
put,cast,0.5840065352531817,0.4959680703308427,0.39564019223535285,0.3143231027194639
put,couch,0.3787652508603254,0.2917175197106227,0.25067884975556814,0.2012098312244686
put,pose,0.48830871039064283,0.43149516748628475,0.38174760776744304,0.26663078800469703
put,set,0.8532507861985845,0.7944568063906007,0.697702348407094,0.5838799969113694
set,pose,0.4319361484066958,0.28988833440234235,0.18613206059773682,0.08395237731283808
